,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
174,29,55,2,['sviluppo e promozione di politiche sportive comunali'],['sviluppo e promozione di politiche sportive comunali']
128,26,29,2,"['contributi per l istituto comprensivo di taio', 'fondo di solidariet']","['contributi all istituto comprensivo', 'fondo di solidariet']"
176,29,57,2,['fruizione di sala pubblica per compleanni ai bambini'],['fruizione di sala pubblica per compleanni ai bambini']
125,26,23,2,"['attivit di doposcuola sostegno compiti servizio alunni al centro', 'tariffe colonia estiva']","['attivit di doposcuola sostegno compiti servizio alunni al centro', 'tariffe colonia estiva']"
616,131,134,2,"['aree gioco', 'parchi family']","['aree gioco', 'parcheggi family']"
183,29,75,2,['universit della terza et e del tempo disponibile'],"['universita della terza eta e del tempo disponibile', 'universit della terza et e del tempo disponibile']"
184,29,82,2,['sostegno e collaborazione con le associazioni locali'],['collaborazione con associazione filo logico']
188,29,108,2,['scuole materne equiparate'],['scuole materne equiparate']
120,23,108,2,['riduzione quota partecipazione al servizio educativo di continuit khlummane lustege tritt'],['servizio educativo di continuit khlummane lustege tritt']
192,29,131,2,"['convenzioni per la gestione di manufatti rurali', 'contributo alla scuola materna per acquistare il terreno attrezzato a parco giochi']","['convenzioni per la gestione di manufatti rurali', 'contributo alla scuola materna per acquistare il terreno attrezzato a parco giochi']"
619,134,103,2,['pianificazione urbanistica'],['pianificazione urbanistica']
575,116,63,2,['interventi e servizi di carattere didattico educativo'],['interventi e servizi di carattere didattico educativo']
237,51,9,2,['sportello di comunit alto garda e ledro amministratore di sostegno'],['sportello di comunita alto garda e ledro amministratore di sostegno']
267,54,75,2,['incontro per famiglie sul ruolo di genitori e rapporti tra generazioni'],['incontro per famiglie sul ruolo dei genitori e rapporti tra generazioni']
288,56,46,2,"['incontro di sensibilizzazione su tematiche sociali e ambientali', 'sensibilizzazione sulle tematiche ambientali']",['sensibilizzazione su tematiche socio ambientali']
292,56,65,2,"['attivit con la scuola materna e primaria', 'festa degli alberi']","['attivit con la scuola materna e primaria', 'festa degli anziani']"
297,56,73,2,"['giornata del riuso', 'a']","['giornata dello sport', 'a']"
