,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
99,18,64,7,"['network dei servizi per i giovani', 'sala prove musicale', 'progetto giovani', 'sala prove musicali']","['servizi per i giovani', 'sala prove musicale', 'progetto giovani']"
15,3,5,7,"['sviluppare una cultura della conciliazione vita lavoro a livello territoriale', 'family audit', 'sviluppare una cultura della conciliazione vita lavoro a livello aziendale', 'sviluppare una cultura della conciliazione vita lavoro a livello personale']","['family card', 'sviluppare una cultura della conciliazione vita lavoro a livello aziendale sistemi premianti']"
17,3,9,7,"['sostegno e promozione delle realta aderenti al distretto family', 'collaborazione con distretto famiglia', 'promozione delle realta aderenti al distretto family', 'nuova cabina di regia del distretto famiglia della paganella', 'adesione alla rete europea dei comuni amici della famiglia', 'cabina di regia del distretto famiglia della paganella']","['aggiornamento della rete europea dei comuni amici della famiglia', 'sostegno e promozione delle realta aderenti al distretto family', 'collaborazione con distretto famiglia comunit valle di cembra', 'cabina di regia del distretto famiglia paganela']"
202,30,54,7,"['serate informative sul tema prima infanzia', 'progetto benvenuti bimbi', 'progetto genitorialit', 'sostenere la maternit', 'serate informative sul tema della prima infanzia', 'corsi di educazione alla nascita']","['serate sul tema della prima infanzia', 'sostenere la paternit e la maternit', 'corsi di educazione alla nascita e genitorialita', 'progetto genitorialit', 'serate informative prima infanzia', 'benvenuti bimbi']"
197,30,23,7,"['contributo nuovi nati', 'contributi per i pannolini lavabili', 'contributi per incentivare l uso dei pannolini lavabili', 'contributo alla natalit', 'contributi per incentivare luso dei pannolini lavabili', 'contributo alla natalita']","['contributi per incentivare l uso dei pannolini lavabili', 'contributo alla natalit', 'contributo per i nuovi nati', 'contributo alla natalita']"
577,116,68,7,"['la biblioteca al servizio della scuola', 'servizi della biblioteca per la comunit biblioestate', 'servizi della biblioteca alla comunit', 'servizi specifici e promozionali']","['servizi della biblioteca alla comunit area bimbi', 'servizi specifici e promozionali', 'servizi della biblioteca alla comunit per la scuola', 'la biblioteca al servizio della scuola']"
604,131,55,7,"['spazi gioco', 'spazio gioco']",['spazio gioco']
476,89,55,7,"['attivit di sensibilizzazione dipendenze', 'attivit di sensibilizzazione sui temi delle dipendenze', 'dipendenze varie', 'attivit di sensibilizzazione', 'evento formativo e informativo sul tema della ludopatia', 'adesione ai servizi sovracomunali dipende da noi']","['evento formativo e informativo sul tema della sana alimentazione e sport', 'attivit di sensibilizzazione dipendenze', 'dipendenze varie', 'adesione ai servizi sovracomunali interventi di prevenzione']"
484,90,58,7,"['supporto alla terza eta', 'intervento rivolto alla popolazione anziana', 'supporto alla terza et']","['intervento d ex rivolto alla popolazione anziana', 'intervento supporto alla terza et']"
259,54,16,7,"['progetto destinazione famiglia', 'formazione e informazione', 'rafforzare le competenze delle famiglie locali e linformazione su servizi ed opportunit esistenti', 'rafforzare le competenze delle famiglie locali e l informazione su servizi ed opportunita esistenti']","['progetto destinazione famiglia', 'formazione e informazione', 'rafforzare le competenze delle famiglie locali e l informazione su servizi e opportunit esistenti']"
576,116,64,7,"['welfare territoriale e servizi alle famiglie', 'orari biblioteca', 'punto di lettura', 'punto lettura']","['welfare territoriale e servizi alle famiglie', 'piccolo punto lettura', 'biblioteca', 'punto lettura']"
648,196,73,7,"['adesione al progetto scuola sport', 'progetto scuola montagna', 'progetto scuola sport', 'scuola e sport', 'orienteering']","['adesione al progetto scuola sport', 'progetto scuola montagna', 'progetto scuola sport', 'scuola e sport', 'orienteering']"
525,109,108,7,"['servizi per la prima infanzia', 'servizi alla prima infanzia', 'servizio tagesmutter', 'servizi per le famiglie con bambini anni tagesmutter', 'servizi alla prima infanzia tagesmutter', 'tagesmutter andalo']","['servizi per la prima infanzia', 'servizi per le famiglie con bambini anni asilo nido', 'servizi alla prima infanzia', 'nido tagesmutter']"
