,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
136,11630776,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,34,5
138,11630738,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,34,14
137,11630754,C,Informazione e comunicazione,6.0,Comunicazione,34,6
139,11630793,D,Comunitа educante,8.0,Formazione,34,10
132,11630795,D,Comunitа educante,8.0,Formazione,36,9
133,11630729,D,Comunitа educante,7.0,Ascolto,36,6
135,11630770,B,Misure economiche,5.0,Benefit e scontistica,36,7
134,11630803,D,Comunitа educante,7.0,Ascolto,36,6
131,11630818,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,37,9
130,11630809,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,37,10
127,11630760,C,Informazione e comunicazione,6.0,Comunicazione,38,7
129,11630775,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,38,6
128,11630718,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,38,5
126,28345013,D,Comunitа educante,8.0,Formazione,39,20
125,11630785,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,39,9
123,11630829,D,Comunitа educante,8.0,Formazione,40,7
124,11630817,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,40,10
122,11630792,D,Comunitа educante,8.0,Formazione,41,11
119,11630786,D,Comunitа educante,8.0,Formazione,42,12
121,11630729,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,42,6
120,11630799,B,Misure economiche,5.0,Benefit e scontistica,42,8
117,11630776,B,Misure economiche,5.0,Benefit e scontistica,43,10
118,11630759,B,Misure economiche,5.0,Benefit e scontistica,43,9
116,11630766,B,Misure economiche,5.0,Benefit e scontistica,44,17
115,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,45,6
114,28344981,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,48,24
113,11630824,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,48,9
112,11630730,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,52,12
111,11630772,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,54,9
110,11630763,B,Misure economiche,4.0,Agevolazioni e contributi,54,9
