,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
381,11630768,B,Misure economiche,5.0,Benefit e scontistica,4,1
395,11630790,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,1
393,11630814,D,Comunitа educante,8.0,Formazione,4,1
404,11630789,B,Misure economiche,5.0,Benefit e scontistica,4,1
394,11630830,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,4,1
405,11630788,B,Misure economiche,5.0,Benefit e scontistica,4,2
406,11630787,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,4,1
378,11630765,B,Misure economiche,4.0,Agevolazioni e contributi,4,1
384,11630765,D,Comunitа educante,7.0,Ascolto,4,1
370,11630802,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,1
382,11630752,B,Misure economiche,5.0,Benefit e scontistica,4,1
388,11630754,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,1
401,11630818,B,Misure economiche,4.0,Agevolazioni e contributi,4,1
403,11630777,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,2
392,11630758,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,1
407,11630776,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,1
379,11630770,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,2
389,11630761,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,1
387,11630762,D,Comunitа educante,7.0,Ascolto,4,1
380,11630769,B,Misure economiche,4.0,Agevolazioni e contributi,4,2
390,11630756,B,Misure economiche,5.0,Benefit e scontistica,4,3
391,90000004,B,Misure economiche,4.0,Agevolazioni e contributi,4,1
399,11630718,C,Informazione e comunicazione,6.0,Comunicazione,4,1
371,11630727,D,Comunitа educante,7.0,Ascolto,4,2
402,11630709,D,Comunitа educante,8.0,Formazione,4,1
374,11630732,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,1
386,11630745,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,1
372,11630734,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,1
369,11630731,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,4,1
400,11630736,B,Misure economiche,4.0,Agevolazioni e contributi,4,1
375,11630734,B,Misure economiche,4.0,Agevolazioni e contributi,4,1
396,11630718,B,Misure economiche,5.0,Benefit e scontistica,4,1
383,11630707,B,Misure economiche,4.0,Agevolazioni e contributi,4,1
397,11630722,C,Informazione e comunicazione,6.0,Comunicazione,4,1
