,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
14,113,ecologica_ambientale_giornata_alberi_ambiente,"[13, 30]",30,alberi_festa_bosco_forestale_orto,13,ecologica_ambientale_giornata_ambiente_rifiuti,0.6975641882944019
13,112,teatro_musicale_musica_teatrale_spettacoli,"[6, 12]",6,teatro_musicale_musica_teatrale_spettacoli,12,culturali_turismo_museo_culturale_storico,0.6689149369038088
12,111,giovani_piano_comune_anni_genitori,"[2, 4, 9, 10]",9,genitori_genitorialitа_formazione_figli_incontri,104,giovani_piano_comune_anni_00,0.6657157266804266
11,110,benvenuto_nati_nuovi_kit_nato,"[16, 52]",16,benvenuto_nati_nuovi_kit_nato,52,figlio_contributo_acquisto_spendibile_nati,0.6599360837538082
10,109,pagina_sito_web_facebook_dedicata,"[37, 85]",37,sito_facebook_pagina_web_internet,85,pagina_dedicata_spiegare_intraprese_web,0.6589140059700034
9,108,persone_intervento_anziani_lavori_socialmente,"[17, 27]",17,anziani_persone_anziane_domicilio_sociale,27,lavori_intervento_socialmente_utili_occupazione,0.6259466464110652
8,107,giochi_parco_sport_sportive_parchi,"[0, 15]",0,giochi_parco_sport_parchi_sportive,15,associazioni_sale_comunali_gratuito_culturali,0.6206593114536947
7,106,ambulatorio_pediatrico_medico_medici_ambulatori,"[39, 56]",56,medici_multiservizi_farmacia_farmacie_medico,39,ambulatorio_pediatrico_medico_ambulatori_medici,0.6064148993886207
6,105,scuole_servizio_scuola_infanzia_scolastico,"[8, 23]",8,scuole_alternanza_studenti_scuola_scolastico,23,nido_servizio_infanzia_anticipo_posti,0.5987904253241414
5,104,giovani_piano_comune_anni_00,"[2, 4, 10]",102,00_comune_euro_contributo_comunale,4,piano_giovani_zona_estivo_ragazzi,0.5689260726978198
4,103,pannolini_rifiuti_tariffa_lavabili_agevolazioni,"[18, 28]",28,tariffe_tariffa_agevolazioni_tariffarie_rifiuti,18,pannolini_lavabili_rifiuti_tariffa_smaltimento,0.5463106733821761
3,102,00_comune_euro_contributo_comunale,"[2, 10]",10,diciottenni_cerimonia_incontro_costituzione_giovani,2,euro_00_comune_contributo_colonia,0.5382450303294739
2,101,famiglia_distretto_family_famiglie_politiche,"[3, 5]",5,distretto_famiglia_valle_descrizione_titolo,3,famiglia_family_famiglie_distretto_politiche,0.5138202368889316
1,100,asilo_nido_convenzione_servizio_infanzia,"[14, 78]",14,asilo_nido_convenzione_servizio_infanzia,78,asilo_nido_tariffe_riduzione_icef,0.4939202250455462
0,99,tagesmutter_servizio_contributo_icef_nido,"[32, 83]",32,tagesmutter_contributo_servizio_icef_nido,83,tagesmutter_mantenimento_sorriso_servizio_riattivato,0.3463195514039561
